ID,Model Name,Category,Domain,Query Type,Latency (ms),Response Accuracy (%),Performance Time (s),Memory Usage (MB),Concurrent Queries,Optimization Technique,Notes
222,Fernandez-ButlerBot,Hybrid,Finance,Simple Query,253,78.52,4.51,1242,30,Neural Architecture Search,Faster architecture
223,Mclaughlin-HughesBot,Rule-Based,Finance,Multi-turn Query,178,85.78,4.49,1412,19,Neural Architecture Search,Reduced memory footprint
224,Hall-MolinaBot,Domain-Specific,Finance,Complex Query,975,88.52,0.9,1303,16,Neural Architecture Search,Improved adaptive response
225,BishopBarnesandSmithBot,Custom,Finance,Complex Query,625,85.39,1.74,997,6,Model Pruning,Reduced memory footprint
226,Hart-JosephBot,Rule-Based,Finance,Simple Query,797,83.01,0.58,419,35,Reinforcement Learning,Improved adaptive response
227,RichmondLLCBot,Rule-Based,Education,Multi-turn Query,812,75.5,3.3,1708,2,Neural Architecture Search,Reduced memory footprint
228,GardnerCarrollandJonesBot,Custom,Retail,Multi-turn Query,520,86.55,2.71,1920,7,Model Pruning,No optimization applied
229,WilsonWardandFryBot,Custom,Education,Simple Query,416,80.09,4.25,1058,32,Neural Architecture Search,Faster architecture
230,RhodesRandolphandRodriguezBot,Custom,E-commerce,Simple Query,867,88.69,0.66,1639,33,Reinforcement Learning,Improved adaptive response
231,EdwardsGroupBot,Rule-Based,Retail,Complex Query,426,93.79,4.42,2040,2,Baseline,No optimization applied
232,Lin-BurnsBot,Custom,Retail,Multi-turn Query,867,78.98,2.33,1569,47,Neural Architecture Search,No optimization applied
233,AdkinsPLCBot,Domain-Specific,Finance,Complex Query,381,86.5,3.8,1205,44,Reinforcement Learning,Reduced memory footprint
234,McdanielLLCBot,Domain-Specific,Retail,Complex Query,776,79.65,4.94,1102,40,Model Pruning,Faster architecture
235,DixonPLCBot,Rule-Based,Healthcare,Complex Query,222,90.54,4.02,1699,46,Baseline,No optimization applied
236,Durham-StanleyBot,Rule-Based,Finance,Complex Query,270,92.84,2.76,953,40,Neural Architecture Search,Improved adaptive response
237,RussellWilsonandAllisonBot,Hybrid,Finance,Multi-turn Query,239,83.8,3.77,595,20,Baseline,Reduced memory footprint
238,RussellWilsonandAllisonBot,Rule-Based,Retail,Complex Query,814,78.78,4.48,332,50,Model Pruning,Reduced memory footprint
239,LawrenceWilliamsandLeeBot,Domain-Specific,E-commerce,Simple Query,351,82.48,0.93,731,32,Reinforcement Learning,Faster architecture
240,Hall-MolinaBot,Domain-Specific,Healthcare,Multi-turn Query,233,80.79,0.98,416,46,Reinforcement Learning,Reduced memory footprint
241,Durham-StanleyBot,Custom,Retail,Simple Query,588,76.81,4.56,1861,48,Model Pruning,No optimization applied
242,Hall-MolinaBot,Custom,E-commerce,Multi-turn Query,885,93.38,4.87,1350,8,Baseline,Faster architecture
243,Ramos-SanchezBot,Hybrid,Retail,Complex Query,160,83.8,2.26,1527,13,Neural Architecture Search,Faster architecture
244,GutierrezBushandThomasBot,Custom,E-commerce,Complex Query,268,86.22,2.35,1051,25,Reinforcement Learning,Improved adaptive response
245,SmithPLCBot,Hybrid,E-commerce,Complex Query,894,76.23,2.07,1312,31,Neural Architecture Search,Reduced memory footprint
246,Fernandez-ButlerBot,Open-Source,Education,Simple Query,350,94.7,3.69,1362,32,Reinforcement Learning,Improved adaptive response
247,Woods-YoungBot,Rule-Based,Finance,Simple Query,196,86.26,3.91,355,43,Reinforcement Learning,No optimization applied
248,WagnerWilliamsandJohnsonBot,Domain-Specific,Education,Complex Query,463,87.54,4.37,599,35,Baseline,Faster architecture
249,Vazquez-MorenoBot,Domain-Specific,Finance,Simple Query,976,78.71,0.69,405,33,Reinforcement Learning,Reduced memory footprint
250,GriffithGreenandCruzBot,Domain-Specific,E-commerce,Simple Query,205,75.63,1.58,673,29,Baseline,Improved adaptive response
251,GriffithGreenandCruzBot,Rule-Based,Retail,Simple Query,184,79.65,3.4,980,34,Baseline,Reduced memory footprint
252,RowlandMartinandGarciaBot,Open-Source,Healthcare,Complex Query,320,92.12,4.5,1068,34,Baseline,No optimization applied
253,Randolph-JohnsonBot,Rule-Based,Retail,Complex Query,152,85.12,3.4,1183,26,Baseline,Reduced memory footprint
254,MurphyHarringtonandFerrellBot,Rule-Based,E-commerce,Simple Query,415,91.9,3.9,1432,7,Model Pruning,Faster architecture
255,Lin-BurnsBot,Open-Source,Education,Multi-turn Query,833,86.21,1.46,899,32,Model Pruning,Improved adaptive response
256,RiosGriffinandRamirezBot,Custom,E-commerce,Multi-turn Query,816,77.84,1.58,1299,37,Neural Architecture Search,Reduced memory footprint
257,SummersGroupBot,Custom,Healthcare,Simple Query,929,93.15,3.58,1315,34,Reinforcement Learning,Reduced memory footprint
258,Wyatt-WrightBot,Rule-Based,E-commerce,Complex Query,936,90.37,3.35,1781,43,Model Pruning,Reduced memory footprint
259,Miller-RamirezBot,Domain-Specific,E-commerce,Multi-turn Query,719,85,4.51,1125,42,Baseline,Reduced memory footprint
260,Hart-JosephBot,Open-Source,Retail,Simple Query,424,93.33,1.45,1353,40,Neural Architecture Search,No optimization applied
261,RussellWilsonandAllisonBot,Rule-Based,Education,Simple Query,421,91.86,3.25,1159,33,Baseline,Reduced memory footprint
262,Butler-BensonBot,Open-Source,Finance,Simple Query,489,80.13,1,331,15,Baseline,Faster architecture
263,MccarthyAlvarezandTurnerBot,Rule-Based,E-commerce,Complex Query,526,86.18,1.17,595,42,Reinforcement Learning,Reduced memory footprint
264,AdkinsPLCBot,Domain-Specific,Healthcare,Complex Query,264,78.78,1.46,1543,9,Reinforcement Learning,Reduced memory footprint
265,MurphyHarringtonandFerrellBot,Custom,Education,Multi-turn Query,493,91.56,0.74,1162,7,Neural Architecture Search,Improved adaptive response
266,Hanson-BrooksBot,Custom,Retail,Complex Query,282,91.01,2.06,454,48,Baseline,Reduced memory footprint
267,Hall-MolinaBot,Open-Source,Education,Multi-turn Query,274,83.57,4.65,741,28,Neural Architecture Search,Reduced memory footprint
268,MorrowandSonsBot,Custom,Retail,Simple Query,999,81.36,3.91,912,49,Neural Architecture Search,Faster architecture
269,Turner-GreenBot,Hybrid,E-commerce,Simple Query,408,82.52,1.46,806,2,Neural Architecture Search,Improved adaptive response
270,Russell-SharpBot,Hybrid,Education,Simple Query,642,87.33,1.04,500,39,Neural Architecture Search,No optimization applied
271,JonesWalkerandWhiteBot,Custom,Healthcare,Simple Query,210,88.32,4.32,1456,10,Baseline,Improved adaptive response
272,Russell-SharpBot,Domain-Specific,Education,Simple Query,120,79.84,1.56,435,36,Model Pruning,Reduced memory footprint
273,SnyderWarrenandBrownBot,Rule-Based,Retail,Multi-turn Query,542,85.99,0.58,1403,44,Baseline,Faster architecture
274,Durham-StanleyBot,Hybrid,Healthcare,Simple Query,248,78.87,0.84,519,15,Baseline,Improved adaptive response
275,RussellWilsonandAllisonBot,Open-Source,Healthcare,Multi-turn Query,471,85.95,4.9,1774,37,Model Pruning,No optimization applied
276,AndersonPLCBot,Domain-Specific,E-commerce,Simple Query,924,93.75,0.84,520,36,Reinforcement Learning,No optimization applied
277,NicholsPLCBot,Open-Source,Finance,Multi-turn Query,392,92.73,4.61,1907,23,Model Pruning,Reduced memory footprint
278,Johnson-NorrisBot,Domain-Specific,Education,Multi-turn Query,454,91.21,2.12,939,20,Model Pruning,Faster architecture
279,WallerLLCBot,Rule-Based,Finance,Simple Query,401,91.15,4.99,1992,35,Neural Architecture Search,No optimization applied
280,Vazquez-MorenoBot,Rule-Based,Retail,Complex Query,182,78.35,1.54,1848,16,Baseline,Reduced memory footprint
281,Hunt-GarzaBot,Custom,Finance,Complex Query,608,87.08,1.44,473,29,Neural Architecture Search,Faster architecture
282,Randolph-JohnsonBot,Open-Source,Finance,Complex Query,431,76.06,4.48,524,15,Neural Architecture Search,Faster architecture
283,Hall-MolinaBot,Domain-Specific,Healthcare,Simple Query,400,76.64,2.19,1953,31,Baseline,Reduced memory footprint
284,Mclaughlin-HughesBot,Open-Source,Finance,Complex Query,781,79,4.16,920,12,Baseline,Improved adaptive response
285,Wyatt-WrightBot,Open-Source,E-commerce,Multi-turn Query,446,85.08,4.21,485,46,Reinforcement Learning,Improved adaptive response
286,ThomasGroupBot,Domain-Specific,E-commerce,Simple Query,566,82.17,3.81,266,7,Reinforcement Learning,Improved adaptive response
287,WoodsIncBot,Rule-Based,Healthcare,Multi-turn Query,742,75.05,2.98,968,8,Baseline,No optimization applied
288,BrownMillerandNguyenBot,Domain-Specific,Retail,Simple Query,684,85.04,0.91,1774,10,Baseline,Improved adaptive response
289,Nielsen-DiazBot,Custom,E-commerce,Multi-turn Query,488,86.14,1.33,283,33,Model Pruning,Improved adaptive response
290,CamachoIncBot,Rule-Based,Healthcare,Simple Query,922,82.35,3.74,829,29,Model Pruning,Faster architecture
291,GutierrezBushandThomasBot,Open-Source,Finance,Multi-turn Query,959,86.01,2.62,1684,6,Model Pruning,Reduced memory footprint
292,JonesIncBot,Hybrid,Education,Multi-turn Query,605,76.54,2.91,1572,5,Reinforcement Learning,Faster architecture
293,HoffmanIncBot,Domain-Specific,E-commerce,Complex Query,811,84.2,1.05,2005,49,Baseline,Reduced memory footprint
294,FosterMullenandJohnsonBot,Open-Source,E-commerce,Multi-turn Query,794,76.42,1.44,477,2,Baseline,No optimization applied
295,Paul-MclaughlinBot,Hybrid,E-commerce,Multi-turn Query,295,82.61,4.99,1935,3,Baseline,Reduced memory footprint
296,CoxGroupBot,Open-Source,Retail,Multi-turn Query,119,94.47,1.13,259,6,Model Pruning,Faster architecture
297,Hunt-GarzaBot,Hybrid,Healthcare,Complex Query,164,76.03,3.78,1392,8,Neural Architecture Search,Faster architecture
298,KnightMcdowellandMarksBot,Open-Source,Finance,Complex Query,791,90.41,1.69,1963,2,Baseline,Reduced memory footprint
299,RiosGriffinandRamirezBot,Hybrid,Education,Simple Query,757,90.4,1.06,1315,9,Reinforcement Learning,No optimization applied
300,WilsonWardandFryBot,Rule-Based,Healthcare,Simple Query,272,91.56,3.16,1088,49,Reinforcement Learning,No optimization applied
301,EspinozaGroupBot,Rule-Based,E-commerce,Simple Query,309,86.93,1.44,1476,6,Reinforcement Learning,No optimization applied
302,Hunt-GarzaBot,Open-Source,Healthcare,Multi-turn Query,208,94.47,2.09,1995,1,Reinforcement Learning,Faster architecture
303,WallerLtdBot,Custom,E-commerce,Complex Query,422,85.79,2.47,1251,3,Reinforcement Learning,Improved adaptive response
304,KiddLtdBot,Custom,Healthcare,Complex Query,431,82.88,1.69,1587,31,Neural Architecture Search,Reduced memory footprint
305,AndersonPLCBot,Rule-Based,Education,Simple Query,702,91.33,4.35,466,37,Neural Architecture Search,No optimization applied
306,Wyatt-WrightBot,Custom,Education,Complex Query,878,85.18,4.65,1309,46,Reinforcement Learning,Faster architecture
307,Carson-BurkeBot,Hybrid,Retail,Complex Query,937,91.26,4.7,1477,30,Reinforcement Learning,No optimization applied
308,Woods-YoungBot,Domain-Specific,Education,Complex Query,942,89.16,1.97,1285,1,Neural Architecture Search,No optimization applied
309,JohnsonChapmanandRossBot,Hybrid,Healthcare,Complex Query,330,78.56,2.56,1459,9,Reinforcement Learning,Reduced memory footprint
310,AguilarLLCBot,Open-Source,Healthcare,Simple Query,234,77.66,3.28,1655,8,Baseline,No optimization applied
311,JonesIncBot,Domain-Specific,Healthcare,Simple Query,870,79.17,0.83,635,14,Model Pruning,No optimization applied
312,Durham-StanleyBot,Rule-Based,Retail,Complex Query,365,75.18,1.77,638,18,Model Pruning,Reduced memory footprint
313,MccoyAndrewsandHicksBot,Hybrid,E-commerce,Complex Query,315,83.39,4.93,682,18,Neural Architecture Search,Faster architecture
314,Wyatt-WrightBot,Domain-Specific,Healthcare,Multi-turn Query,514,87.37,1.45,1409,11,Baseline,Reduced memory footprint
315,CollinsThompsonandBrownBot,Domain-Specific,Healthcare,Complex Query,893,78.05,1.71,1293,22,Reinforcement Learning,Faster architecture
316,CoxGroupBot,Rule-Based,Healthcare,Multi-turn Query,414,93.4,3.54,1902,37,Neural Architecture Search,Reduced memory footprint
317,KnightMcdowellandMarksBot,Custom,Education,Simple Query,514,88.8,3.06,626,23,Model Pruning,Faster architecture
318,SmithPLCBot,Custom,Finance,Complex Query,718,86.05,0.5,645,47,Baseline,Improved adaptive response
319,HaleyIncBot,Rule-Based,Retail,Complex Query,665,91.5,0.92,1633,9,Reinforcement Learning,No optimization applied
320,Durham-StanleyBot,Domain-Specific,Healthcare,Simple Query,274,82.63,1.4,1132,26,Neural Architecture Search,Reduced memory footprint
321,Fernandez-ButlerBot,Rule-Based,Finance,Multi-turn Query,394,84.44,4.23,1975,10,Reinforcement Learning,Improved adaptive response
322,Hall-MolinaBot,Domain-Specific,Finance,Complex Query,277,85.98,2.35,383,24,Reinforcement Learning,Faster architecture
323,Hanson-BrooksBot,Open-Source,E-commerce,Multi-turn Query,711,89.52,3.02,1506,18,Neural Architecture Search,Improved adaptive response
324,Fernandez-ButlerBot,Hybrid,E-commerce,Simple Query,208,91.68,2.75,934,14,Neural Architecture Search,Faster architecture
325,MccoyAndrewsandHicksBot,Domain-Specific,Retail,Multi-turn Query,401,88.74,4.43,1087,19,Neural Architecture Search,Improved adaptive response
326,JohnstonDaltonandRileyBot,Rule-Based,E-commerce,Complex Query,222,75.61,4.77,2006,13,Baseline,Reduced memory footprint
327,Fernandez-ButlerBot,Custom,Retail,Multi-turn Query,762,76.02,2.96,1630,13,Baseline,No optimization applied
328,EspinozaGroupBot,Rule-Based,E-commerce,Simple Query,395,77.54,1.47,591,11,Baseline,No optimization applied
329,BrownMillerandNguyenBot,Open-Source,Finance,Multi-turn Query,797,93.27,1.02,645,15,Model Pruning,No optimization applied
330,EspinozaGroupBot,Open-Source,Retail,Simple Query,717,89.26,0.62,1798,12,Neural Architecture Search,Faster architecture
331,LawrenceWilliamsandLeeBot,Rule-Based,E-commerce,Complex Query,293,88.43,4.35,1822,37,Model Pruning,Reduced memory footprint
332,Carson-BurkeBot,Custom,Retail,Multi-turn Query,405,93,0.88,794,15,Reinforcement Learning,No optimization applied
333,HayesRoachandCarrollBot,Custom,Education,Complex Query,988,92,0.71,1877,1,Baseline,No optimization applied
334,WallerLtdBot,Custom,Finance,Multi-turn Query,150,85.85,1.6,1243,29,Reinforcement Learning,Faster architecture
335,Baldwin-MartinBot,Hybrid,Finance,Simple Query,639,91.43,1.77,908,33,Baseline,Reduced memory footprint
336,HayesRoachandCarrollBot,Rule-Based,Education,Complex Query,712,77.85,3.25,424,20,Baseline,Faster architecture
337,Johnson-NorrisBot,Custom,Education,Complex Query,932,91.1,0.71,1795,3,Reinforcement Learning,No optimization applied
338,AndersonPLCBot,Rule-Based,E-commerce,Complex Query,991,76.7,2.14,1508,26,Reinforcement Learning,Faster architecture
339,Snyder-WilliamsonBot,Custom,E-commerce,Complex Query,750,92.88,2.17,1814,7,Baseline,No optimization applied
340,AguilarLLCBot,Hybrid,Education,Complex Query,444,85.81,0.95,1540,27,Neural Architecture Search,Improved adaptive response
341,Cochran-HarrisBot,Domain-Specific,Finance,Multi-turn Query,630,90.96,2.56,1735,21,Model Pruning,Faster architecture
342,Nielsen-DiazBot,Rule-Based,Education,Multi-turn Query,634,78.83,2.42,536,33,Baseline,No optimization applied
343,JohnsonChapmanandRossBot,Rule-Based,Healthcare,Multi-turn Query,832,82.84,1.55,1547,48,Reinforcement Learning,Improved adaptive response
344,HaleyIncBot,Custom,Education,Multi-turn Query,578,86.89,4.27,957,44,Baseline,No optimization applied
345,RhodesRandolphandRodriguezBot,Rule-Based,Education,Multi-turn Query,197,91.06,0.84,304,30,Model Pruning,Reduced memory footprint
346,RowlandMartinandGarciaBot,Open-Source,Education,Complex Query,495,76.97,3.32,1186,45,Model Pruning,Improved adaptive response
347,Bowman-BernardBot,Open-Source,Healthcare,Complex Query,896,77.82,1.38,1007,9,Model Pruning,Faster architecture
348,AdkinsPLCBot,Hybrid,E-commerce,Simple Query,805,85.13,2.89,264,25,Reinforcement Learning,Faster architecture
349,Ochoa-ChanBot,Rule-Based,Education,Simple Query,716,77.95,3.51,454,48,Model Pruning,Improved adaptive response
350,JohnstonDaltonandRileyBot,Rule-Based,Finance,Multi-turn Query,551,89.28,3.56,469,28,Model Pruning,Improved adaptive response
351,MccarthyAlvarezandTurnerBot,Custom,E-commerce,Multi-turn Query,690,90.98,4.01,1831,31,Neural Architecture Search,Improved adaptive response
352,EspinozaGroupBot,Custom,Retail,Complex Query,147,84.77,2.26,1720,28,Baseline,No optimization applied
353,KleinIncBot,Rule-Based,Healthcare,Multi-turn Query,328,85.9,0.54,771,13,Reinforcement Learning,Improved adaptive response
354,Greene-CoxBot,Domain-Specific,Finance,Simple Query,537,80,2.13,1216,38,Reinforcement Learning,Faster architecture
355,Woods-YoungBot,Rule-Based,E-commerce,Simple Query,565,91.3,1.42,696,39,Baseline,Improved adaptive response
356,JonesWalkerandWhiteBot,Hybrid,E-commerce,Multi-turn Query,552,86.91,2.31,693,22,Model Pruning,Reduced memory footprint
357,ButlerBrownandFernandezBot,Rule-Based,Education,Simple Query,912,91.21,1.93,1742,49,Model Pruning,Faster architecture
358,Hall-MolinaBot,Hybrid,Retail,Complex Query,863,84.35,1.24,1062,50,Baseline,Reduced memory footprint
359,JohnstonDaltonandRileyBot,Open-Source,Healthcare,Complex Query,886,75.77,1.7,1383,8,Reinforcement Learning,Faster architecture
360,Ramos-SanchezBot,Hybrid,Finance,Simple Query,339,89.35,2.73,915,23,Model Pruning,No optimization applied
361,Hart-JosephBot,Custom,Finance,Complex Query,428,92.16,1.86,997,3,Model Pruning,Reduced memory footprint
362,WallerLLCBot,Open-Source,Finance,Complex Query,899,89.55,1.46,527,10,Baseline,Faster architecture
363,Randolph-JohnsonBot,Hybrid,Retail,Multi-turn Query,515,92.21,4.41,614,44,Baseline,Faster architecture
364,PerryGroupBot,Custom,Retail,Multi-turn Query,671,89.13,2.32,824,9,Model Pruning,Faster architecture
365,Nguyen-MercadoBot,Rule-Based,Education,Complex Query,802,77.63,1.51,1156,16,Baseline,Faster architecture
366,HayesRoachandCarrollBot,Rule-Based,Retail,Complex Query,943,77.65,3.89,834,6,Model Pruning,Improved adaptive response
367,KiddLtdBot,Rule-Based,Healthcare,Multi-turn Query,412,83.69,3.16,1865,28,Neural Architecture Search,Improved adaptive response
368,HoffmanIncBot,Rule-Based,Finance,Simple Query,730,94.14,4.68,561,40,Baseline,No optimization applied
369,Russell-SharpBot,Custom,E-commerce,Complex Query,785,75.54,3.2,720,38,Reinforcement Learning,No optimization applied
370,RichmondLLCBot,Custom,E-commerce,Simple Query,846,87.56,1.01,1761,15,Model Pruning,Reduced memory footprint
371,RowlandMartinandGarciaBot,Open-Source,E-commerce,Complex Query,810,90.76,1.7,1431,12,Baseline,Faster architecture
372,Santos-RodgersBot,Domain-Specific,Retail,Complex Query,809,87.93,3.66,1183,26,Model Pruning,No optimization applied
373,Greene-CoxBot,Rule-Based,E-commerce,Multi-turn Query,215,85.83,1.37,657,46,Baseline,Reduced memory footprint
374,MorrowandSonsBot,Domain-Specific,Retail,Multi-turn Query,129,92.26,2.29,444,31,Model Pruning,Faster architecture
375,WallerLLCBot,Hybrid,Education,Simple Query,802,94.33,3.09,562,38,Reinforcement Learning,No optimization applied
376,SummersGroupBot,Hybrid,Finance,Simple Query,454,92.75,4.35,571,9,Neural Architecture Search,No optimization applied
377,JonesWalkerandWhiteBot,Open-Source,E-commerce,Multi-turn Query,841,75.83,3.58,316,42,Baseline,Improved adaptive response
378,GardnerCarrollandJonesBot,Hybrid,Healthcare,Complex Query,353,87.23,4.68,1985,29,Reinforcement Learning,Reduced memory footprint
379,WallerLtdBot,Custom,Retail,Complex Query,716,85.36,4.18,836,20,Baseline,Improved adaptive response
380,RowlandMartinandGarciaBot,Hybrid,Finance,Multi-turn Query,1000,92.81,3.42,1992,10,Reinforcement Learning,Faster architecture
381,JohnsonFrazierandHillBot,Hybrid,Healthcare,Complex Query,675,90.32,1.31,1089,29,Neural Architecture Search,Reduced memory footprint
382,WilsonWardandFryBot,Hybrid,Education,Simple Query,948,82.24,3.78,517,39,Reinforcement Learning,No optimization applied
383,EspinozaGroupBot,Open-Source,Finance,Complex Query,246,82.87,4.02,1551,25,Baseline,No optimization applied
384,KleinIncBot,Hybrid,E-commerce,Multi-turn Query,809,78.99,3.89,715,23,Neural Architecture Search,Faster architecture
385,NguyenKellyandBanksBot,Domain-Specific,E-commerce,Simple Query,783,75.07,0.97,1834,2,Baseline,Reduced memory footprint
386,Miller-ChapmanBot,Domain-Specific,Healthcare,Complex Query,100,82.82,3.95,845,49,Baseline,Faster architecture
387,Mclaughlin-HughesBot,Custom,E-commerce,Simple Query,847,83.92,3.53,1166,14,Baseline,Reduced memory footprint
388,JohnsonFrazierandHillBot,Hybrid,Healthcare,Complex Query,946,92.83,0.98,510,13,Baseline,No optimization applied
389,Hall-MolinaBot,Open-Source,Retail,Complex Query,268,77.02,1.93,706,45,Reinforcement Learning,Improved adaptive response
390,BrownMillerandNguyenBot,Open-Source,Retail,Complex Query,676,82.93,1.83,1196,32,Neural Architecture Search,Faster architecture
391,ButlerBrownandFernandezBot,Hybrid,Retail,Simple Query,565,91.55,3.21,1842,3,Neural Architecture Search,Faster architecture
392,Randolph-JohnsonBot,Domain-Specific,Finance,Multi-turn Query,307,88.46,1.07,460,8,Baseline,Improved adaptive response
393,AndersonPLCBot,Rule-Based,E-commerce,Complex Query,254,80.01,0.79,951,36,Model Pruning,Reduced memory footprint
394,Welch-GuerreroBot,Open-Source,E-commerce,Multi-turn Query,738,93.21,1.81,1946,19,Model Pruning,Faster architecture
395,NguyenKellyandBanksBot,Domain-Specific,Retail,Complex Query,289,76.18,2.4,541,14,Baseline,Improved adaptive response
396,BrownMillerandNguyenBot,Domain-Specific,Healthcare,Complex Query,662,76.72,3.88,1459,39,Baseline,Faster architecture
397,LawrenceWilliamsandLeeBot,Hybrid,Education,Complex Query,198,89.46,3.94,705,5,Reinforcement Learning,Reduced memory footprint
398,AguilarLLCBot,Hybrid,Finance,Simple Query,872,78.04,1.36,1523,49,Neural Architecture Search,Reduced memory footprint
399,GravesPLCBot,Hybrid,Education,Complex Query,955,78.95,1.56,1527,13,Model Pruning,Improved adaptive response
400,Butler-BensonBot,Hybrid,Retail,Multi-turn Query,574,81.87,2.32,340,7,Neural Architecture Search,No optimization applied
401,Hart-JosephBot,Rule-Based,Healthcare,Simple Query,756,79.96,2.35,766,5,Model Pruning,Reduced memory footprint
402,RowlandMartinandGarciaBot,Domain-Specific,Finance,Multi-turn Query,354,84.61,4.76,838,46,Neural Architecture Search,Improved adaptive response
403,WagnerWilliamsandJohnsonBot,Hybrid,E-commerce,Complex Query,953,79.72,1.76,1645,10,Neural Architecture Search,Faster architecture
404,FrazierDiazandCruzBot,Custom,Healthcare,Simple Query,817,77.89,0.97,1536,23,Neural Architecture Search,Improved adaptive response
405,SnyderWarrenandBrownBot,Rule-Based,E-commerce,Multi-turn Query,820,87.92,2.63,1743,43,Baseline,Reduced memory footprint
406,Turner-GreenBot,Domain-Specific,Retail,Simple Query,974,91.77,1.39,1346,36,Model Pruning,No optimization applied
407,Mcconnell-FloresBot,Open-Source,Healthcare,Simple Query,908,83.32,0.61,1074,46,Neural Architecture Search,Faster architecture
408,LawrenceWilliamsandLeeBot,Hybrid,Education,Complex Query,396,90.03,2.94,739,41,Neural Architecture Search,No optimization applied
409,JonesWalkerandWhiteBot,Domain-Specific,Healthcare,Simple Query,277,75.81,0.7,593,24,Reinforcement Learning,Faster architecture
410,Carson-BurkeBot,Open-Source,Retail,Complex Query,859,90.79,1.13,339,50,Baseline,Improved adaptive response
411,EspinozaGroupBot,Custom,Retail,Complex Query,991,89.96,3.97,1494,10,Model Pruning,Faster architecture
412,Trevino-PhillipsBot,Rule-Based,Healthcare,Complex Query,843,87.66,3.48,1220,47,Neural Architecture Search,Reduced memory footprint
413,Turner-GreenBot,Custom,Education,Multi-turn Query,478,84.18,1.01,872,1,Baseline,Faster architecture
414,DixonPLCBot,Rule-Based,Education,Multi-turn Query,845,83.95,0.87,571,23,Neural Architecture Search,No optimization applied
415,TrevinoIncBot,Open-Source,Healthcare,Simple Query,965,93.11,2.29,807,13,Baseline,Improved adaptive response
416,Ochoa-ChanBot,Open-Source,Retail,Complex Query,994,77.36,3.31,502,7,Baseline,Faster architecture
417,ThomasGroupBot,Custom,Retail,Simple Query,285,81.84,2.27,874,34,Reinforcement Learning,No optimization applied
418,RussellWilsonandAllisonBot,Rule-Based,Healthcare,Complex Query,738,92.87,1.12,489,8,Reinforcement Learning,Improved adaptive response
419,PerryGroupBot,Open-Source,E-commerce,Complex Query,405,87.79,1.23,1129,10,Model Pruning,Reduced memory footprint
420,Cochran-HarrisBot,Custom,Finance,Simple Query,276,82.54,4.89,1640,24,Neural Architecture Search,Faster architecture
421,Randolph-JohnsonBot,Open-Source,Finance,Simple Query,694,80.19,1.87,508,13,Reinforcement Learning,Faster architecture
422,CollinsThompsonandBrownBot,Open-Source,Education,Simple Query,504,84.38,2.8,1131,9,Reinforcement Learning,Reduced memory footprint
423,Mclaughlin-HughesBot,Hybrid,Healthcare,Multi-turn Query,164,79.32,3.44,1124,1,Neural Architecture Search,Improved adaptive response
424,JohnsonFrazierandHillBot,Open-Source,Education,Complex Query,776,91.67,4.99,1812,20,Model Pruning,Faster architecture
425,DelgadoBurtonandHoodBot,Open-Source,Retail,Simple Query,231,89.54,4.91,1273,25,Model Pruning,No optimization applied
426,HaleyIncBot,Hybrid,Retail,Multi-turn Query,900,77.93,0.84,1679,4,Neural Architecture Search,Faster architecture
427,WallerLtdBot,Rule-Based,Healthcare,Complex Query,962,84,1.01,1156,13,Model Pruning,Reduced memory footprint
428,AguilarLLCBot,Rule-Based,E-commerce,Complex Query,278,87.22,4.6,1310,8,Neural Architecture Search,Reduced memory footprint
429,EdwardsGroupBot,Custom,Healthcare,Simple Query,579,83.26,4.37,1199,50,Model Pruning,No optimization applied
430,CarterLtdBot,Open-Source,E-commerce,Multi-turn Query,226,91.63,2.86,749,26,Reinforcement Learning,Reduced memory footprint
431,Bowman-BernardBot,Custom,Education,Multi-turn Query,983,86.61,4.48,1986,15,Neural Architecture Search,Faster architecture
432,Hunt-GarzaBot,Domain-Specific,E-commerce,Complex Query,743,88.83,0.59,389,24,Model Pruning,Reduced memory footprint
433,AguilarLLCBot,Custom,Retail,Multi-turn Query,129,93.9,4.99,659,15,Baseline,No optimization applied
434,Durham-StanleyBot,Open-Source,Healthcare,Simple Query,808,91.52,1.54,1840,11,Neural Architecture Search,Reduced memory footprint
435,CoxGroupBot,Hybrid,Finance,Complex Query,936,79.87,2.13,310,46,Baseline,Faster architecture
436,Durham-StanleyBot,Rule-Based,Retail,Simple Query,402,93.37,1.88,263,32,Baseline,No optimization applied
437,Fernandez-ButlerBot,Rule-Based,Education,Simple Query,388,80.37,2.07,1190,45,Neural Architecture Search,No optimization applied
438,Hunt-GarzaBot,Open-Source,Retail,Complex Query,183,82.88,0.88,1620,30,Model Pruning,Improved adaptive response
439,LawrenceWilliamsandLeeBot,Open-Source,Finance,Multi-turn Query,852,77.43,4.83,2005,28,Reinforcement Learning,No optimization applied
440,Vazquez-MorenoBot,Open-Source,E-commerce,Simple Query,292,82.74,3.89,1687,6,Neural Architecture Search,No optimization applied
441,JonesIncBot,Domain-Specific,Finance,Complex Query,953,80.49,3.67,758,40,Reinforcement Learning,No optimization applied
442,ButlerBrownandFernandezBot,Hybrid,Healthcare,Simple Query,705,89.71,3.58,1317,19,Model Pruning,Improved adaptive response
443,Hanson-BrooksBot,Rule-Based,Finance,Complex Query,777,82.93,1.58,1139,40,Baseline,Reduced memory footprint
